problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/hanoi_gr3/,0.1,MaxUtil,"[-0.025599999999999953, -0.0016383999999993195, -0.06399999999999935, -0.1599999999999923]",0,3,False,0
output/hanoi_gr3/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/hanoi_gr3/,0.1,KL,"[0.6415460290875235, 2.1699250014406943, 3.0443941193584507, 3.044394119358513]",0,0,True,1
output/hanoi_gr3/,0.1,KL2,"[0.6414509724423576, 2.169783390850896, 3.044227576174373, 3.044227576174435]",0,0,True,1
output/hanoi_gr3/,0.3,MaxUtil,"[-0.08959999999999983, -0.003276452886007994, -0.0895999902467435, -0.22399999022670028]",0,3,False,0
output/hanoi_gr3/,0.3,DP,"[-2, 0, 0, 0]",0,0,True,1
output/hanoi_gr3/,0.3,KL,"[0.5210419793356262, 2.1700438663792294, 3.164898410915341, 3.1648982521266014]",0,0,True,1
output/hanoi_gr3/,0.3,KL2,"[0.520950837263851, 2.169902252274461, 3.1647279531508126, 3.1647277943667333]",0,0,True,1
output/hanoi_gr3/,0.5,MaxUtil,"[-1.223999999999999, -0.004660983004797721, -0.036739042862396216, -0.09290277373374786]",0,0,True,1
output/hanoi_gr3/,0.5,DP,"[-3, 0, 0, 0]",0,0,True,1
output/hanoi_gr3/,0.5,KL,"[0.5612099958768894, 2.219132384523972, 3.342384815272632, 3.194409504577106]",0,0,True,1
output/hanoi_gr3/,0.5,KL2,"[0.5611175489473185, 2.218989334335344, 3.342209495157276, 3.1942384186695825]",0,0,True,1
output/hanoi_gr3/,0.7,MaxUtil,"[-1.2495999999999992, -0.006299383004797041, -0.10073904286239556, -0.25290277373374015]",0,0,True,1
output/hanoi_gr3/,0.7,DP,"[-4, 0, 0, 0]",0,0,True,1
output/hanoi_gr3/,0.7,KL,"[0.5812940041795479, 2.2068305387531524, 3.2678871412940866, 3.156905658272458]",0,0,True,1
output/hanoi_gr3/,0.7,KL2,"[0.5812009048210782, 2.206687848464232, 3.26771401541155, 3.1567357080457956]",0,0,True,1
output/hanoi_gr3/,1.0,MaxUtil,"[-1.6495999999999986, -0.00783349066899648, -0.1045063687088526, -0.26257137415226495]",0,0,True,1
output/hanoi_gr3/,1.0,DP,"[-5, 0, 0, 0]",0,0,True,1
output/hanoi_gr3/,1.0,KL,"[0.5451427892603838, 2.2114307413644823, 3.290009672679708, 3.196838236817188]",0,0,True,1
output/hanoi_gr3/,1.0,KL2,"[0.5450508642739313, 2.211287918023392, 3.2898357586854976, 3.1966669873181353]",0,0,True,1
output/hanoi_gr4/,0.1,MaxUtil,"[-0.06399999999999988, -0.00152989466060667, -0.024775913178953383, -0.025365460442431972]",0,0,True,1
output/hanoi_gr4/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/hanoi_gr4/,0.1,KL,"[0.4005379295837291, 2.2473854746028437, 3.3222845034336785, 3.2959017227048375]",0,0,True,1
output/hanoi_gr4/,0.1,KL2,"[0.4004507020853445, 2.2472415748914982, 3.322109062533072, 3.2957270458805867]",0,0,True,1
output/hanoi_gr4/,0.3,MaxUtil,"[-1.0639999999999994, -0.002544477998345054, -0.024863923375812835, -0.025600354362295335]",0,0,True,1
output/hanoi_gr4/,0.3,DP,"[-2, 0, 0, 0]",0,0,True,1
output/hanoi_gr4/,0.3,KL,"[0.5210419792977674, 2.3454706791407367, 4.4296118351160105, 4.224992669378595]",0,0,True,1
output/hanoi_gr4/,0.3,KL2,"[0.5209508372259934, 2.3453239646746065, 4.429406310096673, 4.2247923649768975]",0,0,True,1
output/hanoi_gr4/,0.5,MaxUtil,"[-0.5702399999999994, -0.004101780954039591, -0.1675286451352972, -0.16986564070172036]",0,0,True,1
output/hanoi_gr4/,0.5,DP,"[-3, 0, 0, 0]",0,0,True,1
output/hanoi_gr4/,0.5,KL,"[0.48087396275164956, 2.317532099248441, 4.068952937841968, 3.569459181489639]",0,0,True,1
