problem,obs,metric,g0,g1,g2,g3,real_goal,pred_goal,correct
output/skgrid_gr3/,0.7,DP,-5.0,0.0,0.0,-2.0,0,0,True
output/skgrid_gr3/,0.7,KL,0.725677977073236,2.8584282729984025,5.676601321284857,2.728942094658782,0,0,True
output/skgrid_gr3/,1.0,MaxUtil,-1.6598389849963482,-0.004048993547140701,-0.002516537760098027,-0.12946598791149644,0,0,True
output/skgrid_gr3/,1.0,DP,-6.0,0.0,0.0,-3.0,0,0,True
output/skgrid_gr3/,1.0,KL,0.8070856311779658,3.025022478318622,5.373498983054895,2.4764723624477316,0,0,True
output/skgrid_gr4/,0.1,MaxUtil,-1.0255894868710334,-0.12065057021591967,-0.011087406180823722,-0.24783665203067765,0,0,True
output/skgrid_gr4/,0.1,DP,-2.0,-1.0,-1.0,-1.0,0,0,True
output/skgrid_gr4/,0.1,KL,0.384314661860768,2.408988047332431,3.794254242835123,2.0832774668682768,0,0,True
output/skgrid_gr4/,0.3,MaxUtil,-1.0654358917398123,-0.16932328112285133,-0.028441711811504507,-0.4983362736838125,0,0,True
output/skgrid_gr4/,0.3,DP,-4.0,-3.0,-1.0,-3.0,0,0,True
output/skgrid_gr4/,0.3,KL,0.7583384116050822,1.7365649413429156,3.277722837075623,1.565823970266194,0,0,True
output/skgrid_gr4/,0.5,MaxUtil,-0.5963555163775112,-0.5994482979496897,-0.1260935495533529,-1.2296197091025625,0,3,False
output/skgrid_gr4/,0.5,DP,-6.0,-6.0,-5.0,-5.0,0,1,False
output/skgrid_gr4/,0.5,KL,0.5961207212505775,1.0915282794913608,1.7186049556168523,0.8734898776653975,0,0,True
output/skgrid_gr4/,0.7,MaxUtil,-1.6640500646754195,-0.7675086072037113,-0.12552863769380332,-1.7479830013213975,0,3,False
output/skgrid_gr4/,0.7,DP,-9.0,-2.0,-1.0,-7.0,0,0,True
output/skgrid_gr4/,0.7,KL,0.642811178155348,1.6040779211480545,3.02807915129905,1.1667668805689262,0,0,True
output/skgrid_gr4/,1.0,MaxUtil,-1.6649937527201448,-0.7734624807645308,-0.15906744159756242,-1.753929521070181,0,3,False
output/skgrid_gr4/,1.0,DP,-12.0,-5.0,-4.0,-10.0,0,0,True
output/skgrid_gr4/,1.0,KL,0.7520459834054293,1.4721480285977762,2.5503900306719554,1.1443683085672867,0,0,True
output/skgrid_gr5/,0.1,MaxUtil,-0.39999999999999963,-0.06281236670704683,-0.04836801926460415,-0.000651291881688577,0,0,True
output/skgrid_gr5/,0.1,DP,-1.0,-1.0,0.0,0.0,0,1,False
output/skgrid_gr5/,0.1,KL,0.5655971758541973,1.2218300143333316,3.5320161948338074,4.568772067494862,0,0,True
