problem,obs,metric,scores,real_goal,pred_goal,correct
output/skgrid_gr6/,1.0,DP,"[(0, -18), (2, -11), (3, -4), (1, 0)]",0,0,True
output/skgrid_gr6/,1.0,KL,"[(0, 0.48658791588412903), (2, 0.6599751178146905), (3, 3.937657139105984), (1, 5.1874115211792295)]",0,0,True
output/skgrid_gr6/,1.0,KL2,"[(0, 0.48655375248010263), (2, 1.1810453779624583), (1, 3.4582363523577198), (3, 3.718853086160684)]",0,0,True
output/skgrid_gr7/,0.1,MaxUtil,"[(1, -0.44717718062979256), (3, -0.02969595936958735), (0, -0.02969267122343997), (2, -4.865392127079875e-05)]",0,1,False
output/skgrid_gr7/,0.1,DP,"[(0, -2), (2, -2), (1, -1), (3, 0)]",0,2,False
output/skgrid_gr7/,0.1,KL,"[(2, 0.8073195942602623), (0, 0.8075777958740002), (3, 2.1602408195862854), (1, 2.320361579066123)]",0,2,False
output/skgrid_gr7/,0.1,KL2,"[(2, 0.8072705248139611), (0, 0.8075287257301497), (3, 2.1601861071307185), (1, 2.3203066227857145)]",0,2,False
output/skgrid_gr7/,0.3,MaxUtil,"[(0, -0.6280926712247408), (3, -0.6246814566344404), (1, -0.4129423070779633), (2, -0.0010290724812709205)]",0,0,True
output/skgrid_gr7/,0.3,DP,"[(0, -4), (2, -4), (1, -1), (3, 0)]",0,2,False
output/skgrid_gr7/,0.3,KL,"[(2, 0.6039314142338605), (0, 0.604066782853228), (3, 1.6372886198193435), (1, 3.80072874913058)]",0,2,False
output/skgrid_gr7/,0.3,KL2,"[(2, 0.603887227465516), (0, 0.6040225956781287), (3, 1.6372399267444377), (1, 3.800673155566043)]",0,2,False
output/skgrid_gr7/,0.5,MaxUtil,"[(0, -1.2263986079642202), (3, -0.29143489641123005), (1, -0.2469521480681625), (2, -0.0020093314950758332)]",0,0,True
output/skgrid_gr7/,0.5,DP,"[(0, -6), (2, -6), (3, -5), (1, 0)]",0,2,False
output/skgrid_gr7/,0.5,KL,"[(2, 0.7716415788292189), (0, 0.7716444964200918), (3, 1.6929979550613012), (1, 3.4878086392883585)]",0,2,False
output/skgrid_gr7/,0.5,KL2,"[(2, 0.7715979385310315), (0, 0.7716008560996647), (3, 1.6929506812370303), (1, 3.4877556011590145)]",0,2,False
output/skgrid_gr7/,0.7,MaxUtil,"[(0, -1.6519986079629185), (3, -0.7136249211694443), (1, -0.29442275843629095), (2, -0.0027066345350757063)]",0,0,True
output/skgrid_gr7/,0.7,DP,"[(0, -8), (2, -8), (3, -7), (1, 0)]",0,2,False
output/skgrid_gr7/,0.7,KL,"[(2, 0.6788626535859476), (0, 0.6788633913810078), (3, 1.5483274819256196), (1, 3.6611555719149553)]",0,2,False
output/skgrid_gr7/,0.7,KL2,"[(2, 0.6788200973798476), (0, 0.678820835171645), (3, 1.5482813581806845), (1, 3.661102556123758)]",0,2,False
output/skgrid_gr7/,1.0,MaxUtil,"[(0, -1.6665933798667307), (1, -0.8748786426675723), (3, -0.7295980854890625), (2, -0.0027305521289573724)]",0,0,True
output/skgrid_gr7/,1.0,DP,"[(0, -11), (2, -11), (3, -4), (1, 0)]",0,2,False
output/skgrid_gr7/,1.0,KL,"[(0, 0.6597838150383181), (2, 0.6599061284566085), (3, 1.5382706434474), (1, 3.1442478587054654)]",0,0,True
output/skgrid_gr7/,1.0,KL2,"[(0, 0.6597419413877949), (2, 0.6598642533550365), (3, 1.5382251475928677), (1, 3.14419702110086)]",0,0,True
output/skgrid_gr8/,0.1,MaxUtil,"[(0, -0.16000003188583697), (2, -0.0019005439999999938), (3, -4.8653926399999806e-05), (1, -1.9461570559999914e-05)]",0,0,True
output/skgrid_gr8/,0.1,DP,"[(0, -3), (1, -2), (2, -2), (3, -2)]",0,0,True
output/skgrid_gr8/,0.1,KL,"[(0, 0.21412463010078872), (1, 0.21412480535284278), (3, 0.2141248053528465), (2, 0.21412480535284747)]",0,0,True
output/skgrid_gr8/,0.1,KL2,"[(2, 0.14273517420815118), (0, 0.21410258606178914), (1, 0.8093804666133685), (3, 0.809380466613371)]",0,2,False
output/skgrid_gr8/,0.3,MaxUtil,"[(1, -1.0102924120227834), (0, -0.18725526308785787), (2, -0.1651187514804203), (3, -0.025731030056959953)]",0,1,False
output/skgrid_gr8/,0.3,DP,"[(0, -8), (1, -6), (2, -5), (3, -5)]",0,0,True
output/skgrid_gr8/,0.3,KL,"[(3, 0.2085824690085269), (0, 0.23386580521691622), (1, 0.24057504583537384), (2, 2.241013587604829)]",0,3,False
