problem,obs,metric,scores,real_goal,pred_goal,correct
output/blocks_gr4/,0.3,KL2,"[(0, 0.3072464434360541), (3, 3.5053123046168677), (2, 4.188053831877554), (1, 6.7913105531266815)]",0,0,True
output/blocks_gr4/,0.5,MaxUtil,"[(0, -1.1702399999999993), (3, -0.06835176339845338), (2, -0.01070464263889477), (1, -0.00026700656869120515)]",0,0,True
output/blocks_gr4/,0.5,DP,"[(0, -3), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,0.5,KL,"[(0, 0.39341997026359926), (3, 2.526136590238441), (2, 3.987035768636849), (1, 6.332640200345433)]",0,0,True
output/blocks_gr4/,0.5,KL2,"[(0, 0.3933238717597456), (3, 2.525966180766348), (2, 3.9868149022577897), (1, 6.332338859924534)]",0,0,True
output/blocks_gr4/,0.7,MaxUtil,"[(0, -0.6598399999999993), (3, -0.10530693723692093), (2, -0.016464657732932715), (1, -0.0004013186816328861)]",0,0,True
output/blocks_gr4/,0.7,DP,"[(0, -5), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,0.7,KL,"[(0, 0.4292790032457502), (3, 2.5873050979120964), (2, 3.4469615601323476), (1, 4.60198346179739)]",0,0,True
output/blocks_gr4/,0.7,KL2,"[(0, 0.4291783659668176), (3, 2.587128968528895), (2, 3.446755723254809), (1, 4.601738020276663)]",0,0,True
output/blocks_gr4/,1.0,MaxUtil,"[(0, -1.6598399999999986), (3, -0.10557448942111872), (2, -0.016474813902046373), (1, -0.0004013204332779142)]",0,0,True
output/blocks_gr4/,1.0,DP,"[(0, -6), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,1.0,KL,"[(0, 0.3934199702635997), (3, 2.8171910318055144), (2, 3.7560773237402887), (1, 5.546698863062221)]",0,0,True
output/blocks_gr4/,1.0,KL2,"[(0, 0.39332387175974604), (3, 2.8170102986349264), (2, 3.7558642594047633), (1, 5.546424633365453)]",0,0,True
output/blocks_gr5/,0.1,MaxUtil,"[(1, -0.025599999998679557), (0, -0.025599999939361694), (3, -0.004038070761329133), (2, -0.0006520170640167806)]",0,1,False
output/blocks_gr5/,0.1,DP,"[(0, -1), (1, -1), (2, 0), (3, 0)]",0,1,False
output/blocks_gr5/,0.1,KL,"[(0, 0.7085228218135563), (1, 0.7115746311804748), (2, 3.3629605342662727), (3, 3.371495776570407)]",0,0,True
output/blocks_gr5/,0.1,KL2,"[(0, 0.7083834177460251), (1, 0.7114351040780827), (2, 3.362728207844147), (3, 3.37126317602616)]",0,0,True
output/blocks_gr5/,0.3,MaxUtil,"[(0, -0.0895999999385867), (1, -0.03583313995979276), (3, -0.004988577088316967), (2, -0.0008302350169405689)]",0,0,True
output/blocks_gr5/,0.3,DP,"[(0, -2), (1, -1), (2, 0), (3, 0)]",0,0,True
output/blocks_gr5/,0.3,KL,"[(0, 0.9611553512883768), (1, 2.2850626225068864), (2, 3.505574207745103), (3, 3.9143143457855087)]",0,0,True
output/blocks_gr5/,0.3,KL2,"[(0, 0.9610150576052501), (1, 2.284875983786811), (2, 3.5053452459354975), (3, 3.914071207960496)]",0,0,True
output/blocks_gr5/,0.5,MaxUtil,"[(0, -1.0358399995576473), (1, -0.058760777080392304), (3, -0.01427814464501227), (2, -0.0022906649521751564)]",0,0,True
output/blocks_gr5/,0.5,DP,"[(0, -3), (1, -3), (2, 0), (3, 0)]",0,1,False
output/blocks_gr5/,0.5,KL,"[(1, 0.7331993180073076), (0, 0.8064668942229875), (2, 4.502424661982999), (3, 5.366038382115671)]",0,1,False
output/blocks_gr5/,0.5,KL2,"[(1, 0.7330705673349555), (0, 0.8063348931558302), (2, 4.502164452121806), (3, 5.3657513263369045)]",0,1,False
output/blocks_gr5/,0.7,MaxUtil,"[(0, -1.4998399995568719), (1, -0.07456355814000017), (3, -0.01523277908178399), (2, -0.0024734069964936238)]",0,0,True
output/blocks_gr5/,0.7,DP,"[(0, -5), (1, -2), (2, 0), (3, 0)]",0,0,True
output/blocks_gr5/,0.7,KL,"[(0, 0.8067452986031777), (1, 1.5270597041872898), (2, 4.5978451133267795), (3, 5.7506641035281705)]",0,0,True
output/blocks_gr5/,0.7,KL2,"[(0, 0.8066185726159372), (1, 1.5269081467968053), (2, 4.597586826260932), (3, 5.750368024743539)]",0,0,True
output/blocks_gr5/,1.0,MaxUtil,"[(0, -1.6598399995568718), (1, -0.07834808883391864), (3, -0.015328562094917396), (2, -0.0025008598129188826)]",0,0,True
output/blocks_gr5/,1.0,DP,"[(0, -6), (1, -2), (2, 0), (3, 0)]",0,0,True
output/blocks_gr5/,1.0,KL,"[(0, 0.7665538643207158), (1, 1.820031583580082), (2, 4.581412043721089), (3, 5.676870404463062)]",0,0,True
output/blocks_gr5/,1.0,KL2,"[(0, 0.7664285180934062), (1, 1.8198697175310423), (2, 4.581154798662504), (3, 5.67657703935367)]",0,0,True
output/blocks_gr6/,0.1,MaxUtil,"[(0, -0.39999999999999963), (1, -2.8618999890280148e-05), (3, -1.035694260784934e-06), (2, -2.663436546859634e-07)]",0,0,True
output/blocks_gr6/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr6/,0.1,KL,"[(0, 0.4005379295837283), (1, 5.418882635497686), (2, 7.480249511301027), (3, 9.372584838831875)]",0,0,True
output/blocks_gr6/,0.1,KL2,"[(0, 0.40044148614771957), (1, 5.418617220941492), (2, 7.479911866910515), (3, 9.372186314531358)]",0,0,True
output/blocks_gr6/,0.3,MaxUtil,"[(0, -0.035839999999999934), (3, -0.014304692316120124), (2, -0.0022389075241483927), (1, -0.002180946883923135)]",0,0,True
output/blocks_gr6/,0.3,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr6/,0.3,KL,"[(0, 0.7136958147192022), (3, 3.362176364016627), (2, 4.199567262600805), (1, 4.254014264643889)]",0,0,True
output/blocks_gr6/,0.3,KL2,"[(0, 0.7135562021977409), (3, 3.3619440594758245), (2, 4.1993057938497405), (1, 4.253750893073102)]",0,0,True
output/blocks_gr6/,0.5,MaxUtil,"[(0, -0.5855999999999993), (3, -0.004146516076596078), (1, -0.0008710423927364762), (2, -0.0006050166271808894)]",0,0,True
output/blocks_gr6/,0.5,DP,"[(0, -3), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr6/,0.5,KL,"[(0, 0.5599436400890019), (1, 4.649184219883435), (2, 6.196481741461743), (3, 6.414639071625518)]",0,0,True
output/blocks_gr6/,0.5,KL2,"[(0, 0.5598254722874794), (1, 4.648926028979894), (2, 6.196171245894193), (3, 6.414320477366541)]",0,0,True
output/blocks_gr6/,0.7,MaxUtil,"[(0, -1.2598399999999992), (3, -0.015424231179032114), (1, -0.0036730301268524546), (2, -0.002312678109501051)]",0,0,True
output/blocks_gr6/,0.7,DP,"[(0, -5), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr6/,0.7,KL,"[(0, 0.591824782146069), (1, 4.142291453400695), (3, 5.5261370510759), (2, 6.466271108229655)]",0,0,True
output/blocks_gr6/,0.7,KL2,"[(0, 0.5917022694714456), (1, 4.142047494039085), (3, 5.525843984123979), (2, 6.465948386532032)]",0,0,True
output/blocks_gr6/,1.0,MaxUtil,"[(0, -1.6598399999999986), (3, -0.015425266873292898), (1, -0.003701649126742735), (2, -0.002312944453155737)]",0,0,True
output/blocks_gr6/,1.0,DP,"[(0, -6), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr6/,1.0,KL,"[(0, 0.5599436400523455), (1, 4.35505665041686), (3, 6.1672116823685625), (2, 6.63526750874155)]",0,0,True
output/blocks_gr6/,1.0,KL2,"[(0, 0.5598254722508246), (1, 4.354809115189486), (3, 6.166901039191877), (2, 6.634942299928447)]",0,0,True
output/blocks_gr7/,0.1,MaxUtil,"[(0, -0.06399934841299633), (1, -2.578802122582457e-06), (2, -2.0756538974131766e-06), (3, -0.0)]",0,0,True
output/blocks_gr7/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr7/,0.1,KL,"[(0, 1.2141326487200776), (2, 7.341070339867217), (1, 9.812673185169325), (3, nan)]",0,0,True
output/blocks_gr7/,0.1,KL2,"[(3, -1.9931568569324173e-05), (0, 1.2139569147801497), (2, 7.340605750922022), (1, 9.812108075219017)]",0,3,False
output/blocks_gr7/,0.3,MaxUtil,"[(0, -0.40573414923585915), (1, -0.08747704522267276), (2, -4.8765437571157935e-05), (3, -4.831227408200847e-05)]",0,0,True
output/blocks_gr7/,0.3,DP,"[(0, -3), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr7/,0.3,KL,"[(0, 0.8212056174991841), (3, 4.004136028394094), (2, 4.278585442144146), (1, 5.534873352503396)]",0,0,True
output/blocks_gr7/,0.3,KL2,"[(0, 0.8210336871913236), (3, 2.669197488047415), (2, 4.278257216152322), (1, 5.534479336108741)]",0,0,True
output/blocks_gr7/,0.5,MaxUtil,"[(0, -1.4680952614591436), (1, -0.023479631418430385), (2, -1.1348606533333284e-05), (3, -6.371179404291287e-06)]",0,0,True
output/blocks_gr7/,0.5,DP,"[(0, -4), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr7/,0.5,KL,"[(0, 0.6687333512345774), (2, 4.174208114206612), (3, 4.51688526812817), (1, 7.641813455855499)]",0,0,True
output/blocks_gr7/,0.5,KL2,"[(0, 0.6685843334926393), (3, 1.1291256208322022), (2, 4.173905562954522), (1, 5.73099751036338)]",0,0,True
output/blocks_gr7/,0.7,MaxUtil,"[(0, -1.2553334225881618), (1, -0.08772072551352565), (2, -0.00010046810423591517), (3, -4.831229188952882e-05)]",0,0,True
output/blocks_gr7/,0.7,DP,"[(0, -6), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr7/,0.7,KL,"[(0, 0.8223770965688844), (2, 4.1617716123464925), (3, 8.216478696878001), (1, 8.226330120091072)]",0,0,True
output/blocks_gr7/,0.7,KL2,"[(0, 0.8222100119263865), (3, 4.107976563376396), (2, 4.161458232817664), (1, 6.854845169779387)]",0,0,True
output/blocks_gr7/,1.0,MaxUtil,"[(0, -1.6655733841064118), (1, -0.09027546653800138), (2, -0.00010281827150807717), (3, -4.834299387729605e-05)]",0,0,True
output/blocks_gr7/,1.0,DP,"[(0, -8), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr7/,1.0,KL,"[(0, 0.7964993280261621), (2, 4.236189680585511), (1, 7.934784712276289), (3, 8.638794429737818)]",0,0,True
output/blocks_gr7/,1.0,KL2,"[(0, 0.796336084927175), (2, 4.235878418144132), (3, 4.319129203134419), (1, 6.942500832673803)]",0,0,True
output/blocks_gr8/,0.1,MaxUtil,"[(0, -0.06399999999999988), (2, -0.010239999999579303), (3, -1.2305712817082435e-12), (1, -0.0)]",0,0,True
output/blocks_gr8/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr8/,0.1,KL,"[(0, 0.400537929336001), (1, nan), (2, 3.0443941194103474), (3, 11.070044249724123)]",0,0,True
output/blocks_gr8/,0.1,KL2,"[(1, -1.9931568569324173e-05), (0, 0.40041752463098373), (2, 3.044146809608205), (3, 11.06944185275261)]",0,1,False
output/blocks_gr8/,0.3,MaxUtil,"[(0, -0.5855999999999993), (2, -0.031105465914892917), (3, -5.845586950194375e-11), (1, -3.015433332038045e-13)]",0,0,True
output/blocks_gr8/,0.3,DP,"[(0, -3), (2, -1), (1, 0), (3, 0)]",0,0,True
output/blocks_gr8/,0.3,KL,"[(0, 0.3934199697360759), (2, 2.218394634726429), (3, 10.59296149978434), (1, 28.409024509336)]",0,0,True
output/blocks_gr8/,0.3,KL2,"[(0, 0.39330000249669955), (2, 2.2181871224443745), (3, 3.5307717933799694), (1, 9.4692035264388)]",0,0,True
output/blocks_gr8/,0.5,MaxUtil,"[(0, -1.0319897599999994), (2, -0.03235000052845252), (1, -0.026885401289385952), (3, -2.0809250288000286e-05)]",0,0,True
output/blocks_gr8/,0.5,DP,"[(0, -5), (2, -4), (1, 0), (3, 0)]",0,0,True
output/blocks_gr8/,0.5,KL,"[(0, 0.6107597286992494), (2, 1.2850755924478996), (3, 6.008671186206898), (1, 10.67825194355903)]",0,0,True
output/blocks_gr8/,0.5,KL2,"[(0, 0.6106068134315872), (2, 1.284890438111907), (3, 4.806605372187258), (1, 8.542102047427601)]",0,0,True
output/blocks_gr8/,0.7,MaxUtil,"[(0, -0.5922519039999994), (1, -0.09088540036205182), (2, -0.0377573699148929), (3, -6.275229028571152e-05)]",0,0,True
output/blocks_gr8/,0.7,DP,"[(0, -7), (2, -5), (1, 0), (3, 0)]",0,0,True
output/blocks_gr8/,0.7,KL,"[(0, 0.6144550381846342), (2, 1.3966511417925684), (3, 5.505307567782454), (1, 9.24097216859494)]",0,0,True
output/blocks_gr8/,0.7,KL2,"[(0, 0.6143014982709014), (2, 1.3964600791607868), (3, 3.932074761040204), (1, 6.600292363039377)]",0,0,True
output/blocks_gr8/,1.0,MaxUtil,"[(0, -1.6664919039999986), (1, -0.0908873319953223), (2, -0.05859761044292477), (3, -6.275813863646979e-05)]",0,0,True
output/blocks_gr8/,1.0,DP,"[(0, -10), (2, -6), (1, 0), (3, 0)]",0,0,True
output/blocks_gr8/,1.0,KL,"[(0, 0.5481445009253628), (2, 1.6972479680500228), (3, 6.699061149380193), (1, 9.427503167001309)]",0,0,True
output/blocks_gr8/,1.0,KL2,"[(0, 0.5480010328148277), (2, 1.6970494227866648), (3, 4.689032672202394), (1, 5.656158748478845)]",0,0,True
output/blocks_gr9/,0.1,MaxUtil,"[(0, -0.06399213699388909), (3, -9.79994076772425e-05), (1, -1.8650734361668566e-07), (2, 0)]",0,0,True
output/blocks_gr9/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr9/,0.1,KL,"[(0, 0.2046193133197818), (1, 4.280870977929177), (2, nan), (3, 4.11821990424401)]",0,0,True
output/blocks_gr9/,0.1,KL2,"[(0, 0.20454629274983518), (3, 4.118010987963317), (1, 4.280656522144046), (2, 5.128556292816107)]",0,0,True
output/blocks_gr9/,0.3,MaxUtil,"[(0, -0.40573433870764763), (2, -0.26541806036069626), (3, -0.014336052329238015), (1, -0.0003959371758989706)]",0,0,True
output/blocks_gr9/,0.3,DP,"[(0, -3), (2, -2), (1, -1), (3, -1)]",0,0,True
output/blocks_gr9/,0.3,KL,"[(0, 0.6918056131500437), (2, 1.507865184175721), (1, 1.6620242724326504), (3, 4.929732727723903)]",0,0,True
output/blocks_gr9/,0.3,KL2,"[(0, 0.6916933986490701), (2, 1.5077247662733326), (1, 1.6618795989606738), (3, 4.92947474290015)]",0,0,True
output/blocks_gr9/,0.5,MaxUtil,"[(0, -1.2341824452307908), (2, -0.5347836788825607), (3, -0.0017396353217375953), (1, -0.00030833641412203255)]",0,0,True
output/blocks_gr9/,0.5,DP,"[(0, -4), (2, -1), (1, 0), (3, 0)]",0,0,True
output/blocks_gr9/,0.5,KL,"[(0, 0.528897316351054), (1, 2.306741390391836), (2, 2.9364627273485446), (3, 6.968500636295362)]",0,0,True
output/blocks_gr9/,0.5,KL2,"[(0, 0.5288003995092636), (1, 2.30658660890852), (2, 3.484348388724933), (3, 6.968186890681449)]",0,0,True
output/blocks_gr9/,0.7,MaxUtil,"[(0, -1.6297258797436798), (2, -0.40020173924325747), (3, -0.014437426197448457), (1, -0.0006913798813243269)]",0,0,True
output/blocks_gr9/,0.7,DP,"[(0, -6), (2, -2), (1, -1), (3, -1)]",0,0,True
output/blocks_gr9/,0.7,KL,"[(0, 0.512718069887188), (1, 1.5589317969449237), (2, 2.5864891609978136), (3, 6.603118596246456)]",0,0,True
output/blocks_gr9/,0.7,KL2,"[(0, 0.512617676982915), (1, 1.5587982272588052), (2, 3.0100210612620018), (3, 6.602811937023162)]",0,0,True
output/blocks_gr9/,1.0,MaxUtil,"[(2, -1.8002017392432565), (0, -1.6654799970136507), (3, -0.016674206929654545), (1, -0.0007043922523862373)]",0,2,False
output/blocks_gr9/,1.0,DP,"[(0, -8), (2, -4), (1, -1), (3, -1)]",0,0,True
output/blocks_gr9/,1.0,KL,"[(0, 0.5694319873881544), (2, 1.9619316663080677), (1, 2.9218168610336326), (3, 5.726919810585786)]",0,0,True
