problem,obs,metric,scores,real_goal,pred_goal,correct
output/hanoi_gr3/,0.7,MaxUtil,"[(0, -1.2495999999999992), (3, -0.25290277373374015), (2, -0.10073904286239556), (1, -0.006299383004797041)]",0,0,True
output/hanoi_gr3/,0.7,DP,"[(0, -4), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr3/,0.7,KL,"[(0, 0.5812940041795479), (1, 2.2068305387531524), (3, 3.156905658272458), (2, 3.2678871412940866)]",0,0,True
output/hanoi_gr3/,0.7,KL2,"[(0, 0.5812009048210782), (1, 2.206687848464232), (3, 3.1567357080457956), (2, 3.26771401541155)]",0,0,True
output/hanoi_gr3/,1.0,MaxUtil,"[(0, -1.6495999999999986), (3, -0.26257137415226495), (2, -0.1045063687088526), (1, -0.00783349066899648)]",0,0,True
output/hanoi_gr3/,1.0,DP,"[(0, -5), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr3/,1.0,KL,"[(0, 0.5451427892603838), (1, 2.2114307413644823), (3, 3.196838236817188), (2, 3.290009672679708)]",0,0,True
output/hanoi_gr3/,1.0,KL2,"[(0, 0.5450508642739313), (1, 2.211287918023392), (3, 3.1966669873181353), (2, 3.2898357586854976)]",0,0,True
output/hanoi_gr4/,0.1,MaxUtil,"[(0, -0.06399999999999988), (3, -0.025365460442431972), (2, -0.024775913178953383), (1, -0.00152989466060667)]",0,0,True
output/hanoi_gr4/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr4/,0.1,KL,"[(0, 0.4005379295837291), (1, 2.2473854746028437), (3, 3.2959017227048375), (2, 3.3222845034336785)]",0,0,True
output/hanoi_gr4/,0.1,KL2,"[(0, 0.4004507020853445), (1, 2.2472415748914982), (3, 3.2957270458805867), (2, 3.322109062533072)]",0,0,True
output/hanoi_gr4/,0.3,MaxUtil,"[(0, -1.0639999999999994), (3, -0.025600354362295335), (2, -0.024863923375812835), (1, -0.002544477998345054)]",0,0,True
output/hanoi_gr4/,0.3,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr4/,0.3,KL,"[(0, 0.5210419792977674), (1, 2.3454706791407367), (3, 4.224992669378595), (2, 4.4296118351160105)]",0,0,True
output/hanoi_gr4/,0.3,KL2,"[(0, 0.5209508372259934), (1, 2.3453239646746065), (3, 4.2247923649768975), (2, 4.429406310096673)]",0,0,True
