problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/blocks_gr3/,0.7,KL,"[0.55893900409875, 5.163624175329101, 2.48145046776442, 9.632991209595392]",0,0,True,1
output/blocks_gr3/,0.7,KL2,"[0.5588066147172782, 1.877547970426402, 0.902259040756541, 7.005408478075569]",0,0,True,1
output/blocks_gr3/,1.0,MaxUtil,"[-1.6666648770969432, -0.00633078428576996, -1.6517963183795519, -3.794465356291735e-06]",0,0,True,1
output/blocks_gr3/,1.0,DP,"[-15, -1, -5, -1]",0,0,True,1
output/blocks_gr3/,1.0,KL,"[0.5625453757448592, 5.5803437831787415, 1.8153039404716884, 9.54241844386143]",0,0,True,1
output/blocks_gr3/,1.0,KL2,"[0.5624139671355134, 2.603984181728948, 1.0983042785908748, 7.633496069565845]",0,0,True,1
output/blocks_gr4/,0.1,MaxUtil,"[-0.06399999999999988, -3.2106149690898546e-05, -0.0015953829601294603, -0.010239975868147452]",0,0,True,1
output/blocks_gr4/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr4/,0.1,KL,"[0.4005379295837291, 3.312961046682029, 3.0748907274089876, 3.044396638554852]",0,0,True,1
output/blocks_gr4/,0.1,KL2,"[0.40044148614772007, 3.312763407443961, 3.074700723600574, 3.044207660068653]",0,0,True,1
output/blocks_gr4/,0.3,MaxUtil,"[-1.0639999999999994, -3.210790133592664e-05, -0.0016055391292431169, -0.010507528052345233]",0,0,True,1
output/blocks_gr4/,0.3,DP,"[-2, 0, 0, 0]",0,0,True,1
output/blocks_gr4/,0.3,KL,"[0.3073313674682882, 6.7916184580342, 4.188273434594491, 3.505508669913729]",0,0,True,1
output/blocks_gr4/,0.3,KL2,"[0.3072464434360541, 6.7913105531266815, 4.188053831877554, 3.5053123046168677]",0,0,True,1
output/blocks_gr4/,0.5,MaxUtil,"[-1.1702399999999993, -0.00026700656869120515, -0.01070464263889477, -0.06835176339845338]",0,0,True,1
output/blocks_gr4/,0.5,DP,"[-3, 0, 0, -1]",0,0,True,1
output/blocks_gr4/,0.5,KL,"[0.39341997026359926, 6.332640200345433, 3.987035768636849, 2.526136590238441]",0,0,True,1
output/blocks_gr4/,0.5,KL2,"[0.3933238717597456, 6.332338859924534, 3.9868149022577897, 2.525966180766348]",0,0,True,1
output/blocks_gr4/,0.7,MaxUtil,"[-0.6598399999999993, -0.0004013186816328861, -0.016464657732932715, -0.10530693723692093]",0,0,True,1
output/blocks_gr4/,0.7,DP,"[-5, 0, 0, -1]",0,0,True,1
output/blocks_gr4/,0.7,KL,"[0.4292790032457502, 4.60198346179739, 3.4469615601323476, 2.5873050979120964]",0,0,True,1
output/blocks_gr4/,0.7,KL2,"[0.4291783659668176, 4.601738020276663, 3.446755723254809, 2.587128968528895]",0,0,True,1
output/blocks_gr4/,1.0,MaxUtil,"[-1.6598399999999986, -0.0004013204332779142, -0.016474813902046373, -0.10557448942111872]",0,0,True,1
output/blocks_gr4/,1.0,DP,"[-6, 0, 0, -1]",0,0,True,1
output/blocks_gr4/,1.0,KL,"[0.3934199702635997, 5.546698863062221, 3.7560773237402887, 2.8171910318055144]",0,0,True,1
output/blocks_gr4/,1.0,KL2,"[0.39332387175974604, 5.546424633365453, 3.7558642594047633, 2.8170102986349264]",0,0,True,1
output/blocks_gr5/,0.1,MaxUtil,"[-0.025599999939361694, -0.025599999998679557, -0.0006520170640167806, -0.004038070761329133]",0,1,False,0
output/blocks_gr5/,0.1,DP,"[-1, -1, 0, 0]",0,1,False,0
output/blocks_gr5/,0.1,KL,"[0.7085228218135563, 0.7115746311804748, 3.3629605342662727, 3.371495776570407]",0,0,True,1
output/blocks_gr5/,0.1,KL2,"[0.7083834177460251, 0.7114351040780827, 3.362728207844147, 3.37126317602616]",0,0,True,1
output/blocks_gr5/,0.3,MaxUtil,"[-0.0895999999385867, -0.03583313995979276, -0.0008302350169405689, -0.004988577088316967]",0,0,True,1
output/blocks_gr5/,0.3,DP,"[-2, -1, 0, 0]",0,0,True,1
output/blocks_gr5/,0.3,KL,"[0.9611553512883768, 2.2850626225068864, 3.505574207745103, 3.9143143457855087]",0,0,True,1
output/blocks_gr5/,0.3,KL2,"[0.9610150576052501, 2.284875983786811, 3.5053452459354975, 3.914071207960496]",0,0,True,1
output/blocks_gr5/,0.5,MaxUtil,"[-1.0358399995576473, -0.058760777080392304, -0.0022906649521751564, -0.01427814464501227]",0,0,True,1
output/blocks_gr5/,0.5,DP,"[-3, -3, 0, 0]",0,1,False,0
output/blocks_gr5/,0.5,KL,"[0.8064668942229875, 0.7331993180073076, 4.502424661982999, 5.366038382115671]",0,1,False,0
output/blocks_gr5/,0.5,KL2,"[0.8063348931558302, 0.7330705673349555, 4.502164452121806, 5.3657513263369045]",0,1,False,0
output/blocks_gr5/,0.7,MaxUtil,"[-1.4998399995568719, -0.07456355814000017, -0.0024734069964936238, -0.01523277908178399]",0,0,True,1
output/blocks_gr5/,0.7,DP,"[-5, -2, 0, 0]",0,0,True,1
output/blocks_gr5/,0.7,KL,"[0.8067452986031777, 1.5270597041872898, 4.5978451133267795, 5.7506641035281705]",0,0,True,1
output/blocks_gr5/,0.7,KL2,"[0.8066185726159372, 1.5269081467968053, 4.597586826260932, 5.750368024743539]",0,0,True,1
output/blocks_gr5/,1.0,MaxUtil,"[-1.6598399995568718, -0.07834808883391864, -0.0025008598129188826, -0.015328562094917396]",0,0,True,1
output/blocks_gr5/,1.0,DP,"[-6, -2, 0, 0]",0,0,True,1
output/blocks_gr5/,1.0,KL,"[0.7665538643207158, 1.820031583580082, 4.581412043721089, 5.676870404463062]",0,0,True,1
output/blocks_gr5/,1.0,KL2,"[0.7664285180934062, 1.8198697175310423, 4.581154798662504, 5.67657703935367]",0,0,True,1
output/blocks_gr6/,0.1,MaxUtil,"[-0.39999999999999963, -2.8618999890280148e-05, -2.663436546859634e-07, -1.035694260784934e-06]",0,0,True,1
output/blocks_gr6/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr6/,0.1,KL,"[0.4005379295837283, 5.418882635497686, 7.480249511301027, 9.372584838831875]",0,0,True,1
output/blocks_gr6/,0.1,KL2,"[0.40044148614771957, 5.418617220941492, 7.479911866910515, 9.372186314531358]",0,0,True,1
